date,day,team_1,team_2,place,number,year,month,dayofweek
2025-03-22,토,LG,롯데,잠실,23750.0,2025,3,5
2025-03-23,일,LG,롯데,잠실,23750.0,2025,3,6
2025-03-25,화,LG,한화,잠실,23750.0,2025,3,1
2025-03-26,수,LG,한화,잠실,23750.0,2025,3,2
2025-03-27,목,LG,한화,잠실,23750.0,2025,3,3
2025-03-28,금,두산,삼성,잠실,23750.0,2025,3,4
2025-03-29,토,두산,삼성,잠실,23750.0,2025,3,5
2025-03-30,일,두산,삼성,잠실,23750.0,2025,3,6
2025-04-02,수,두산,키움,잠실,8336.0,2025,4,2
2025-04-03,목,두산,키움,잠실,9131.0,2025,4,3
2025-04-04,금,LG,KIA,잠실,23750.0,2025,4,4
2025-04-06,일,LG,KIA,잠실,23750.0,2025,4,6
2025-04-08,화,두산,한화,잠실,20986.0,2025,4,1
2025-04-09,수,두산,한화,잠실,19300.0,2025,4,2
2025-04-10,목,두산,한화,잠실,21561.0,2025,4,3
2025-04-11,금,LG,두산,잠실,23750.0,2025,4,4
2025-04-12,토,LG,두산,잠실,22938.0,2025,4,5
2025-04-13,일,LG,두산,잠실,23750.0,2025,4,6
2025-04-15,화,LG,삼성,잠실,23750.0,2025,4,1
2025-04-16,수,LG,삼성,잠실,23750.0,2025,4,2
2025-04-17,목,LG,삼성,잠실,23750.0,2025,4,3
2025-04-18,금,두산,KIA,잠실,23750.0,2025,4,4
2025-04-19,토,두산,KIA,잠실,23750.0,2025,4,5
2025-04-20,일,두산,KIA,잠실,23750.0,2025,4,6
2025-04-22,화,LG,NC,잠실,12941.0,2025,4,1
2025-04-23,수,LG,NC,잠실,17828.0,2025,4,2
2025-04-24,목,LG,NC,잠실,19325.0,2025,4,3
2025-04-25,금,두산,롯데,잠실,23750.0,2025,4,4
2025-04-26,토,두산,롯데,잠실,23750.0,2025,4,5
2025-04-27,일,두산,롯데,잠실,23750.0,2025,4,6
2025-04-29,화,두산,KT,잠실,14138.0,2025,4,1
2025-04-30,수,두산,KT,잠실,17158.0,2025,4,2
2025-05-01,목,두산,KT,잠실,19883.0,2025,5,3
2025-05-02,금,LG,SSG,잠실,23750.0,2025,5,4
2025-05-03,토,LG,SSG,잠실,23750.0,2025,5,5
2025-05-04,일,LG,SSG,잠실,23750.0,2025,5,6
2025-05-05,월,두산,LG,잠실,23750.0,2025,5,0
2025-05-06,화,두산,LG,잠실,23750.0,2025,5,1
2025-05-07,수,두산,LG,잠실,23750.0,2025,5,2
2025-05-10,토,두산,NC,잠실,20206.0,2025,5,5
2025-05-11,일,두산,NC,잠실,19366.0,2025,5,6
