date,day,team_1,team_2,number,winner,rank,gb,streak_num,calc_win_rate,score_diff,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),오존,이산화질소,일산화탄소,아황산가스,통합등급_num,오존등급_num,NO2등급_num,전운량등급_num
2025-03-22,토,LG,롯데,23750.0,LG,1.0,0.0,1.0,1.0,10,12.8,0.0,2.7,53.8,11.1,0.0467,0.0293,0.55,0.0044,3,2,1,1
2025-03-23,일,LG,롯데,23750.0,LG,1.0,0.0,2.0,1.0,8,15.2,0.0,1.9,49.0,8.9,0.0575,0.0245,0.53,0.0042,3,2,1,1
2025-03-25,화,LG,한화,23750.0,LG,1.0,0.0,3.0,1.0,5,12.7,0.0,3.3,63.5,3.9,0.0528,0.0192,0.53,0.0032,3,2,1,2
2025-03-26,수,LG,한화,23750.0,LG,1.0,0.0,4.0,1.0,4,15.5,0.0,2.2,46.4,10.0,0.0295,0.0389,0.55,0.0034,3,1,2,1
2025-03-27,목,LG,한화,23750.0,LG,1.0,0.0,5.0,1.0,1,13.7,0.3,3.2,65.1,1.9,0.0482,0.0141,0.36,0.0031,2,2,1,3
2025-03-28,금,두산,삼성,23750.0,두산,7.0,4.0,1.0,0.3333333333333333,2,6.5,0.0,3.7,41.6,7.8,0.042,0.0089,0.32,0.0028,2,2,1,1
2025-03-29,토,두산,삼성,23750.0,삼성,2.0,3.0,1.0,0.5714285714285714,-11,3.3,0.0,3.6,40.8,7.3,0.0413,0.0102,0.27,0.0027,1,2,1,1
2025-03-30,일,두산,삼성,23750.0,삼성,2.0,2.5,2.0,0.625,-1,3.3,0.0,2.8,51.1,7.1,0.0414,0.0099,0.27,0.0026,1,2,1,1
2025-04-02,수,두산,키움,8336.0,두산,8.0,4.5,1.0,0.3333333333333333,2,8.9,0.0,2.4,55.4,4.6,0.0423,0.0322,0.49,0.0033,2,2,2,2
2025-04-03,목,두산,키움,9131.0,두산,7.0,4.5,2.0,0.4,5,9.8,0.0,2.4,58.6,11.6,0.047,0.0216,0.36,0.0027,2,2,1,1
2025-04-04,금,LG,KIA,23750.0,LG,1.0,0.0,2.0,0.9,6,10.6,0.0,2.2,54.5,10.4,0.0456,0.0254,0.39,0.003,2,2,1,1
2025-04-06,일,LG,KIA,23750.0,LG,1.0,0.0,3.0,0.9090909090909091,4,10.3,0.0,2.8,67.3,9.6,0.0491,0.0141,0.34,0.0029,2,2,1,1
2025-04-08,화,두산,한화,20986.0,두산,4.0,5.0,2.0,0.5,1,13.8,0.0,3.1,55.0,9.2,0.0585,0.0182,0.4,0.0029,2,2,1,1
2025-04-09,수,두산,한화,19300.0,한화,10.0,7.0,1.0,0.3333333333333333,-1,12.7,0.8,2.0,51.6,2.2,0.0294,0.0342,0.5,0.0033,2,1,2,3
2025-04-10,목,두산,한화,21561.0,한화,9.0,7.0,2.0,0.375,-5,13.2,0.0,2.2,60.6,9.7,0.0504,0.0178,0.45,0.0031,2,2,1,1
2025-04-11,금,LG,두산,23750.0,LG,1.0,0.0,2.0,0.8666666666666667,3,16.2,0.0,2.0,51.8,11.8,0.0428,0.0308,0.55,0.0034,3,2,2,1
2025-04-12,토,LG,두산,22938.0,LG,1.0,0.0,3.0,0.875,4,12.9,15.4,3.1,66.5,1.5,0.0444,0.0255,0.46,0.0033,2,2,1,3
