date,day,team_1,team_2,number,winner,gb,score_diff,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),이산화질소,일산화탄소,아황산가스,오존등급_num,NO2등급_num,전운량등급_num,sales
2025-03-22,토,KT,한화,1.0,한화,0.0,-1,12.8,0.0,53.8,11.1,0.0293,0.55,0.0044,2,1,1,74.65
2025-03-22,토,LG,롯데,1.0,LG,0.0,10,12.8,0.0,53.8,11.1,0.0293,0.55,0.0044,2,1,1,74.85
2025-03-22,토,KIA,NC,1.0,KIA,0.0,7,12.8,0.0,53.8,11.1,0.0293,0.55,0.0044,2,1,1,18.01
2025-03-22,토,SSG,두산,1.0,SSG,0.0,1,12.8,0.0,53.8,11.1,0.0293,0.55,0.0044,2,1,1,45.89
2025-03-22,토,삼성,키움,1.0,삼성,0.0,8,12.8,0.0,53.8,11.1,0.0293,0.55,0.0044,2,1,1,48.78
2025-03-23,일,KT,한화,1.0,KT,1.0,1,15.2,0.0,49.0,8.9,0.0245,0.53,0.0042,2,1,1,42.27
2025-03-23,일,LG,롯데,1.0,LG,0.0,8,15.2,0.0,49.0,8.9,0.0245,0.53,0.0042,2,1,1,45.44
2025-03-23,일,KIA,NC,1.0,NC,1.0,-1,15.2,0.0,49.0,8.9,0.0245,0.53,0.0042,2,1,1,10.28
2025-03-23,일,SSG,두산,1.0,SSG,0.0,3,15.2,0.0,49.0,8.9,0.0245,0.53,0.0042,2,1,1,27.17
2025-03-23,일,삼성,키움,1.0,삼성,0.0,4,15.2,0.0,49.0,8.9,0.0245,0.53,0.0042,2,1,1,33.61
2025-03-25,화,LG,한화,1.0,LG,0.0,5,12.7,0.0,63.5,3.9,0.0192,0.53,0.0032,2,1,2,67.46
2025-03-25,화,SSG,롯데,0.6026086956521739,롯데,2.0,-1,12.7,0.0,63.5,3.9,0.0192,0.53,0.0032,2,1,2,31.89
2025-03-25,화,삼성,NC,0.876,삼성,0.0,9,12.7,0.0,63.5,3.9,0.0192,0.53,0.0032,2,1,2,29.74
2025-03-25,화,KT,두산,0.4353475935828877,KT,1.0,5,12.7,0.0,63.5,3.9,0.0192,0.53,0.0032,2,1,2,34.76
2025-03-25,화,KIA,키움,0.7342926829268293,KIA,1.0,5,12.7,0.0,63.5,3.9,0.0192,0.53,0.0032,2,1,2,10.7
2025-03-26,수,LG,한화,1.0,LG,0.0,4,15.5,0.0,46.4,10.0,0.0389,0.55,0.0034,1,2,1,71.42
2025-03-26,수,SSG,롯데,0.6458695652173913,SSG,1.0,2,15.5,0.0,46.4,10.0,0.0389,0.55,0.0034,1,2,1,31.43
2025-03-26,수,삼성,NC,1.0,NC,2.0,-2,15.5,0.0,46.4,10.0,0.0389,0.55,0.0034,1,2,1,31.04
2025-03-26,수,KT,두산,0.5137433155080214,두산,3.0,-1,15.5,0.0,46.4,10.0,0.0389,0.55,0.0034,1,2,1,38.42
